burst_time,arrival_time,queue_length,avg_burst_in_queue,time_since_last_task,bottleneck_score
1,23,5,5.4,2,0.078125
20,27,13,5.384615384615385,4,81.44578313253012
7,93,2,2.0,4,3.266666666666667
14,83,4,4.5,1,14.254545454545454
15,92,5,5.6,3,17.045454545454547
15,68,3,7.666666666666667,1,7.788461538461537
3,32,12,6.666666666666667,1,1.408695652173913
9,57,5,6.6,2,5.328947368421053
15,62,12,5.916666666666667,3,39.036144578313255
9,53,0,0.0,3,0.0
12,84,15,6.133333333333334,4,30.280373831775698
1,98,7,5.857142857142857,0,0.10208333333333335
3,77,11,6.7272727272727275,1,1.2811764705882354
17,46,3,3.3333333333333335,5,20.007692307692302
8,20,1,6.0,5,0.9142857142857143
11,21,0,0.0,1,0.0
8,50,11,5.636363636363637,3,10.60821917808219
19,68,9,6.777777777777778,1,41.77285714285715
7,7,5,4.6,5,4.375
14,26,2,7.0,1,4.9
5,59,4,7.5,0,1.1764705882352942
6,98,2,7.5,3,0.8470588235294118
5,38,13,4.769230769230769,1,5.633333333333334
10,37,0,0.0,3,0.0
19,49,14,5.714285714285714,4,75.27234042553191
19,87,4,3.25,5,33.976470588235294
7,40,2,4.5,2,1.7818181818181817
14,24,4,7.25,1,9.503030303030304
6,97,10,5.7,2,5.373134328358209
5,86,15,5.933333333333334,0,5.408653846153846
19,81,5,6.8,1,23.141025641025642
6,11,2,7.5,3,0.8470588235294118
6,54,2,2.5,4,2.057142857142857
13,57,8,5.125,1,22.073469387755104
12,25,8,5.625,1,17.388679245283022
7,31,10,5.8,2,7.205882352941177
5,4,11,4.363636363636363,1,5.127118644067798
8,35,5,4.2,0,6.153846153846153
2,11,14,5.285714285714286,5,0.8909090909090909
4,50,14,5.428571428571429,2,3.4844444444444447
11,40,11,6.454545454545454,1,17.854878048780485
1,84,7,4.142857142857143,4,0.1361111111111111
3,96,1,3.0,0,0.225
15,68,9,5.777777777777778,4,29.877049180327866
14,10,4,3.75,5,16.50526315789474
11,1,13,4.538461538461538,2,28.401388888888892
10,81,5,5.4,2,7.8125
4,1,7,7.0,5,1.4
10,67,7,7.142857142857143,0,8.596491228070175
13,87,8,5.75,2,20.02962962962963
5,6,6,7.5,4,1.7647058823529413
